"","","Life expectancy at birth (years)","Life expectancy at birth (years)","Life expectancy at birth (years)","Life expectancy at age 60 (years)","Life expectancy at age 60 (years)","Life expectancy at age 60 (years)"
"Country","Year"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"
"Iran (Islamic Republic of)"," 2000","72.6","70.7","74.6","19.7","19.0","20.5"
"Iraq"," 2019","72.4","69.9","75.0","19.2","17.6","20.7"
"Iraq"," 2015","70.3","67.3","73.4","19.2","17.9","20.5"
"Iraq"," 2010","70.2","67.8","72.8","18.8","17.5","20.0"
"Iraq"," 2000","68.8","66.4","71.3","18.3","17.0","19.6"
"Ireland"," 2019","81.8","80.2","83.5","24.2","23.0","25.3"
"Ireland"," 2015","81.1","79.3","82.9","23.7","22.3","24.9"
"Ireland"," 2010","80.4","78.3","82.4","23.2","21.7","24.6"
"Ireland"," 2000","76.4","73.8","79.0","20.2","18.3","21.9"
"Israel"," 2019","82.6","80.8","84.4","24.9","23.6","26.0"
"Israel"," 2015","81.9","80.0","83.8","24.3","22.9","25.6"
"Israel"," 2010","81.6","79.6","83.3","24.2","22.8","25.3"
"Israel"," 2000","78.6","76.4","80.7","21.9","20.6","23.1"
"Italy"," 2019","83.0","80.9","84.9","25.0","23.4","26.5"
"Italy"," 2015","82.2","80.0","84.3","24.5","22.7","26.0"
"Italy"," 2010","81.9","79.4","84.2","24.4","22.4","26.1"
"Italy"," 2000","79.4","76.4","82.1","22.5","20.3","24.5"
"Jamaica"," 2019","76.0","74.4","77.7","21.3","20.1","22.6"
"Jamaica"," 2015","75.9","74.1","77.7","21.4","19.9","23.0"
"Jamaica"," 2010","75.8","73.3","78.5","21.6","19.7","23.8"
"Jamaica"," 2000","74.2","72.0","76.5","21.0","19.7","22.3"
"Japan"," 2019","84.3","81.5","86.9","26.3","23.9","28.6"
"Japan"," 2015","83.6","80.7","86.4","25.9","23.4","28.1"
"Japan"," 2010","82.7","79.5","85.8","25.3","22.6","27.7"
"Japan"," 2000","81.1","77.7","84.4","24.1","21.3","26.6"
"Jordan"," 2019","77.9","77.0","78.8","21.8","21.6","22.1"
"Jordan"," 2015","77.8","77.0","78.8","21.8","21.5","22.1"
"Jordan"," 2010","76.6","75.6","77.6","21.0","20.5","21.4"
"Jordan"," 2000","72.6","73.1","72.5","18.6","19.5","17.9"
"Kazakhstan"," 2019","74.0","70.0","77.6","19.5","16.8","21.4"
"Kazakhstan"," 2015","71.9","67.4","76.2","18.6","15.9","20.6"
"Kazakhstan"," 2010","68.4","63.6","73.4","17.2","14.6","19.2"
"Kazakhstan"," 2000","63.1","57.6","69.2","15.3","12.3","17.8"
"Kenya"," 2019","66.1","63.7","68.4","17.6","16.0","19.1"
"Kenya"," 2015","64.2","61.7","66.6","17.3","15.6","18.8"
"Kenya"," 2010","61.2","59.2","63.1","16.8","14.9","18.5"
"Kenya"," 2000","53.9","52.8","54.9","16.3","14.5","18.1"
"Kiribati"," 2019","59.4","56.1","62.8","13.7","12.5","14.6"
"Kiribati"," 2015","58.2","55.1","61.4","13.5","12.3","14.4"
"Kiribati"," 2010","58.0","54.8","61.4","13.2","12.0","14.2"
"Kiribati"," 2000","55.7","52.3","59.4","12.6","11.3","13.7"
"Kuwait"," 2019","81.0","79.3","83.9","24.0","22.8","25.9"
"Kuwait"," 2015","81.1","79.5","83.8","24.2","23.2","25.9"
"Kuwait"," 2010","79.8","78.8","81.4","23.2","22.7","24.0"
"Kuwait"," 2000","77.9","76.4","80.1","22.2","21.2","23.5"
"Kyrgyzstan"," 2019","74.2","70.7","77.3","20.0","17.8","21.7"
